"","x"
"intercept",-0.555699778043834
"agencia",0.0479491408387253
"producto",0.128265014045775
"cliente",0.0107929740942151
"prodAgenCliente",0.473121813549863
"prodCliente",0.142100319442318
"prodAgencia",0.0870736596132926
"clienteAgen",0.130212205263771
